sample_id	query	entry_class	observed_rank	capture_timestamp	internal_evidence_pointer	evidence_sha256	japanese	english	japanese_id	english_id	general_japanese	general_english	direct_link	japanese_cc0	english_cc0	japanese_indices	japanese_contributor	japanese_contributor_status	english_contributor	english_contributor_status	pair_license	zenbu_exact_pair
beautiful-04	beautiful	adjective	4	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	真実のみが美しい。	Nothing is beautiful but the truth.	4894	1480	true	true	true	false	false	false	bunbuku	named	AlanF_US	named	CC BY 2.0 FR	true
beautiful-05	beautiful	adjective	5	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	富士山はとてもきれいだ。	Mt. Fuji is very beautiful.	84940	2617277	true	true	true	false	false	true	small_snow	named	CK	named	CC BY 2.0 FR	true
beautiful-06	beautiful	adjective	6	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	潔白であることは美しいことだ。	Innocence is a beautiful thing.	4796	1375	true	true	true	false	false	false	bunbuku	named	CM	named	CC BY 2.0 FR	true
beautiful-07	beautiful	adjective	7	2026-08-14T17:54:29+09:00	private://issue-140/beautiful-page-1-2026-08-14T1754JST.png	5419610ab197d919848872429bb797d91066631d90a272c048ba82a5971807f5	イタリアはとても美しい国です。	Italy is a very beautiful country.	5062	1658	true	true	true	false	false	false	bunbuku	named	CK	named	CC BY 2.0 FR	true
thank-you-01	thank you	phrase	1	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	本当にありがとう。	Thank you very much!	81557	1564	true	true	true	false	false	true	tommy_san	named	adjusting	named	CC BY 2.0 FR	true
thank-you-02	thank you	phrase	2	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	先生、ありがとう。	Thank you, Doctor.	141799	272771	true	true	true	false	false	true	small_snow	named	CM	named	CC BY 2.0 FR	true
thank-you-03	thank you	phrase	3	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	心より感謝します。	I thank you from the bottom of my heart.	145585	268952	true	true	true	false	false	true		not-supplied	CK	named	CC BY 2.0 FR	true
thank-you-04	thank you	phrase	4	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	贈り物をありがとう。	Thank you for the present.	140220	274353	true	true	true	false	false	true		not-supplied	CK	named	CC BY 2.0 FR	true
thank-you-05	thank you	phrase	5	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	ありがとうございます！	Thank you very much!	4971	1564	true	true	true	false	false	false	bunbuku	named	adjusting	named	CC BY 2.0 FR	true
thank-you-06	thank you	phrase	6	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	来てくれてありがとう。	Thank you for coming.	78721	64536	true	true	true	false	false	true	mookeee	named	CK	named	CC BY 2.0 FR	true
thank-you-07	thank you	phrase	7	2026-08-14T17:56:26+09:00	private://issue-140/thank-you-page-1-2026-08-14T1754JST.png	17bd8bff6632165e4e8e3bfc8ee6c396036b370d447a8397a174da6574ea6df4	電話、どうもありがとう。	Thank you for calling.	124756	64155	true	true	true	false	false	true		not-supplied	CK	named	CC BY 2.0 FR	true
