context_id	phase	context_type	query_or_entry	language	reference_version	environment	captured_at_start	captured_at_end	private_evidence_start_pointer	private_evidence_start_sha256	private_evidence_terminal_pointer	private_evidence_terminal_sha256	count_value	count_kind	captured_row_count	exhaustive	terminal_evidence	zenbu_baseline
D11	discovery	direct-search	startled me	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T21:27:12+09:00	2026-08-14T21:27:12+09:00	private://issue-148/nihongo-startled-me-examples.png	a41ec64c63cfe51052c383b0f4956efb32c4344d116222add9e7aa8eb10f3718	private://issue-148/nihongo-startled-me-examples.png	a41ec64c63cfe51052c383b0f4956efb32c4344d116222add9e7aa8eb10f3718	2	exact	2	true	exact-count-screen	Zenbu-140b194
D12	discovery	direct-search	scatter	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:23:49+09:00	2026-08-14T23:23:49+09:00	private://issue-147/D12-root.jpeg	cf94a5fe425a16fb335c8dc6a32b9440cdfc1ba3ba9dcbe3f1c12a39599395d4	private://issue-147/D12-examples-22.jpeg	ae2b9ce4bf4fa3de5fc5989e3350288edb0233a48b37dd6f37b05c2aaaf0b17a	21	exact	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D13	discovery	direct-search	education	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:24:59+09:00	2026-08-14T23:29:10+09:00	private://issue-147/D13-root-recapture-20260814T2324JST.jpeg	0a4bfa647e2e5be83efe7bde228a69f470610482a3759ed3cfad1346cf7355ba	private://issue-147/D13-exhaustive-page-058.jpeg	74b9f574d715f304e3d4ec40a425f5528e98ccb567f49ef5a3bf204964f3d337	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D14	discovery	direct-search	great	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:30:37+09:00	2026-08-14T23:34:00+09:00	private://issue-147/D14-root-recapture-20260814T2330JST.jpeg	227db4c4a228cd881987ba2a1f13dfc618c33ed966cf7003f8272442ec57f1ca	private://issue-147/D14-exhaustive-page-073.jpeg	0dc87dc6d3cdbb42b90f70bb37242c440f902de3c18f884680cb3aae2249fd06	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D15	discovery	direct-search	neat	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:34:21+09:00	2026-08-14T23:35:14+09:00	private://issue-147/D15-root-recapture-20260814T2334JST.jpeg	cad423068564916be7af941ba4cf1a7852324ffa42a0e03377037102762dde81	private://issue-147/D15-exhaustive-page-021.jpeg	ad445fc971b4921df77f70eb34d8f03fd01bcbe2f33cc68797323684621544a7	19	exact	19	true	exact-count-plus-all-rows	Zenbu-140b194
D16	discovery	direct-search	quickly	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:35:35+09:00	2026-08-14T23:38:14+09:00	private://issue-147/D16-root-recapture-20260814T2335JST.jpeg	1451d0daa4e47e1bfff68deb08f2fd044fd8ee8b21e84c924bed6caf46ef3b18	private://issue-147/D16-exhaustive-page-067.jpeg	d938bcb1db5fd564fefe57009fe72dcfe121f23d17cb4653cc47a8a92414763d	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D17	discovery	direct-search	cat!	en	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:42:52+09:00	2026-08-14T23:44:51+09:00	private://issue-147/D17-root-recapture-20260814T2343JST.jpeg	a6bb4dbd3023eefe2e2173d0c3f1a5f78b4b64bacebee03cdd462dec4e4c7083	private://issue-147/D17-exhaustive-page-062.jpeg	942950e9990e8aebfe63402b8297bcfa77140aef699c2a32dfb85883e677d0c7	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D18	discovery	direct-search	食べる	ja	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:45:14+09:00	2026-08-14T23:47:10+09:00	private://issue-147/D18-root-recapture-20260814T2345JST.jpeg	86b744ef8a77b77e3b77aa3541fcc800a698cdbdd7f7dee951a411fd26fed6a1	private://issue-147/D18-exhaustive-page-062.jpeg	77b5434be7dbdf35997a8afc331d0fe774abfcbe8eb1db4049906959fcdf2932	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D19	discovery	direct-search	食べた	ja	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:47:32+09:00	2026-08-14T23:49:23+09:00	private://issue-147/D19-root-recapture-20260814T2347JST.jpeg	e8dd6df6221a427aaab736e51f0fa1df9b241767b38fd0a69d9767192c02f9fa	private://issue-147/D19-exhaustive-page-062.jpeg	832ad66c763ed7492cb5f0001ce9cbbb80f6fe8c0046c0546e50958a851b4a41	50	capped-lower-bound	20	false	displayed-count-plus-ordered-top-20	Zenbu-140b194
D20	discovery	direct-search	ねこ	ja	Nihongo-1.34.3-9792	iPhone17ProMax-iOS26.6	2026-08-14T23:23:49+09:00	2026-08-14T23:23:49+09:00	private://issue-147/D20-root-valid.jpeg	9b3a37040b7ff28a3e8ea746d5b42e44cda9f7034f79995a30f2a8f66ba0f9aa	private://issue-147/D20-examples-08-valid.jpeg	ca49ff9084a47d229b22fe549810dd3098c23ae9eef72fb42ec879e02fa4a55e	9	exact	9	true	exact-count-plus-all-rows	Zenbu-140b194
